Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
5.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,-15385.091,3097.4,2606.0,0.69253254,1157.0,0.30746746,1075.0,0.28567633,1078.0,4.0,0.0010629817,7.0,75.0,0.019930907,995.0,3.0,0.0007972362,3157.5552,12262.536,35.0,0.0,35.0,446.0793,446.0793,11.375265,11.375265,14.179808,14.219123,7.223532,453.99466,9.026374,6.648592,2.0372255,4.5556707,1058.1906,0.3057746,0.0,5.0,0.032347504,0.40605932,1093.1906,4285.794,1624.0,506.7212,450.0,161.43217,44.61806,3460.6882,1844.3809,1697.5818,0.92040735,1532.749,6.8779554,0.0044873334,6837.8184,102.48514,197.84087,2276.7065,4912.339,54.145554,0.7395585,28.933916
5.0,0.0,0.0,5.0,1.0,0.0,0.3850746,1.0,-13353.552,2964.1848,2665.0,0.70821154,1098.0,0.29178846,1010.0,0.26840287,1016.0,3.0,0.0007972362,9.0,79.0,0.020993888,997.0,6.0,0.0015944724,3157.5552,10240.996,45.0,0.0,45.0,345.83945,345.83945,10.0797205,10.0797205,13.027855,13.104565,6.391718,335.17386,8.286331,6.361564,2.0307012,4.249242,1084.203,0.3057746,0.0,5.0,0.044160943,0.40683037,1129.203,4276.112,1613.0,526.48566,450.0,169.41708,46.91912,3545.7588,1609.8236,1602.2291,0.99528235,1532.749,9.286389,0.00605865,6688.3315,109.55613,197.80013,2274.1128,4859.707,56.22216,0.70792323,29.053858
5.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,-9293.747,2757.5022,2700.0,0.7175126,1063.0,0.28248736,977.0,0.25963327,984.0,1.0,0.00026574542,8.0,78.0,0.020728143,1021.0,7.0,0.0018602179,3157.5552,6176.1924,40.0,0.0,40.0,389.6944,389.6944,6.2766185,6.2766185,9.368697,9.435277,3.9125118,407.80463,5.8590555,5.7749314,2.0339632,3.5714521,1097.745,0.3057746,0.0,5.0,0.040609136,0.40657222,1137.745,4307.468,1610.0,530.8001,450.0,161.96758,45.935802,3590.0466,1069.4833,1578.5747,1.4760164,1532.749,7.644727,0.0049875923,6192.279,105.983345,198.03198,2286.6543,4863.1616,59.97975,0.69824404,29.962755
5.0,0.0,0.0,3.0,1.0,1.0,0.5472077,1.0,-9276.281,2755.3242,2704.0,0.7185756,1059.0,0.2814244,970.0,0.25777304,978.0,3.0,0.0007972362,11.0,78.0,0.020728143,1034.0,8.0,0.0021259633,3157.5552,6173.726,55.0,0.0,55.0,282.05048,282.05048,6.3126035,6.3126035,9.379456,9.455944,3.948059,299.70468,5.8931108,5.816603,2.0241768,3.5758514,1097.2885,0.3057746,0.0,5.0,0.05606524,0.40580192,1152.2885,4301.054,1627.0,537.2302,450.0,173.48477,49.828682,3588.5532,1061.3971,1563.737,1.4732817,1532.749,10.352041,0.0067539047,6182.699,116.504036,197.95485,2277.9211,4850.5938,59.770973,0.6837046,29.897022
5.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,-9274.216,2737.339,2674.0,0.71060324,1089.0,0.28939676,998.0,0.26521394,1007.0,2.0,0.00053149083,11.0,80.0,0.021259634,1053.0,9.0,0.0023917088,3157.5552,6171.66,55.0,0.0,55.0,282.05048,282.05048,6.128759,6.128759,9.110231,9.191492,3.8445425,275.86078,5.7370386,5.8520017,2.0241768,3.584414,1085.35,0.3057746,0.0,5.0,0.054509416,0.40589005,1140.35,4307.156,1660.0,534.45123,450.0,166.70766,48.761986,3549.51,1054.6238,1605.3042,1.5221581,1532.749,11.246815,0.007337676,6136.883,112.75084,197.96518,2282.3848,4853.8506,60.04499,0.70360893,29.618113
5.0,0.0,0.0,2.0,2.2605338,0.0,1.0,1.0,-7215.7207,2703.5278,2713.0,0.7209673,1050.0,0.27903268,962.0,0.2556471,969.0,5.0,0.0013287271,12.0,76.0,0.020196652,1029.0,7.0,0.0018602179,3157.5552,4118.1655,60.0,0.0,60.0,258.12958,258.12958,4.2499127,4.2499127,7.355475,7.4083376,2.6724913,297.3654,4.6512136,5.7572803,2.0209148,3.2097745,1106.1271,0.3057746,0.0,5.0,0.061601643,0.40771365,1166.1271,4325.288,1615.0,538.8995,450.0,169.01389,48.309803,3617.459,715.29706,1540.9463,2.1542747,1532.749,10.416663,0.006796066,5865.505,112.65848,198.31075,2294.629,4876.243,61.085598,0.6933706,29.51169
5.0,0.0,0.0,2.0,1.0,0.54989463,1.0,0.0,-7214.8335,2681.7637,2717.0,0.7220303,1046.0,0.27796972,945.0,0.25112942,962.0,3.0,0.0007972362,20.0,81.0,0.02152538,982.0,17.0,0.004517672,3157.5552,4122.2783,65.0,0.0,65.0,154.62776,154.62776,4.285113,4.285113,7.347081,7.4765115,2.6952572,179.90192,4.6648235,5.6563945,2.0176528,3.190243,1105.2012,0.3057746,0.0,3.25,0.06735751,0.4067726,1170.2012,4300.015,1586.0,537.53613,562.5,174.31798,47.550068,3614.431,728.782,1529.4564,2.0986474,1532.749,17.19023,0.011215293,5875.962,111.469215,198.21867,2293.128,4871.9126,61.070316,0.67140204,30.097855
5.0,0.0,3.0,2.0,4.0,1.0,0.6065465,0.0,-6563.5923,2064.5398,3268.0,0.868456,495.0,0.13154398,341.0,0.090619184,348.0,7.0,0.0018602179,14.0,140.0,0.03720436,419.0,7.0,0.0018602179,3157.5552,4094.2717,55.0,633.23456,688.23456,221.61108,221.61108,9.945509,9.945509,18.13147,18.488993,6.3440332,274.90393,11.787133,5.433712,2.0241768,3.0251076,1376.451,0.3057746,1.8196396,3.9285715,1.9386889,0.42119065,2064.6855,4696.6953,590.0,521.81836,482.14285,396.52533,46.151142,4501.522,636.9563,545.55786,0.8565075,1532.749,11.285961,0.0073632156,6671.227,123.1797,198.44038,2304.3372,5041.7246,53.6154,0.59919256,29.4065
3.5,0.5,3.0,2.0,1.0,1.0,0.6883856,0.4816287,-6416.6323,1902.8956,3328.0,0.8844007,435.0,0.11559925,278.0,0.07387722,280.0,9.0,0.0023917088,11.0,146.0,0.03879883,352.0,2.0,0.00053149083,3157.5552,4074.0723,38.5,776.495,814.995,283.55048,283.55048,11.777061,11.777061,22.050283,22.20288,8.307566,278.1423,15.721239,5.777836,2.034942,3.0504873,1416.3112,0.3057746,2.7731965,3.5,2.820052,0.42557424,2231.3062,4660.9966,383.0,466.87244,450.0,467.87662,45.747936,4631.8794,570.72876,396.93665,0.6954909,1532.749,11.213882,0.00731619,6735.3574,124.01205,198.36185,2318.9092,5252.993,49.27096,0.573975,28.812468
4.5,3.0,3.0,2.0,1.0,0.0,1.0,0.0,-6143.607,1688.6796,3396.0,0.9024714,367.0,0.09752857,191.0,0.050757375,198.0,5.0,0.0013287271,12.0,164.0,0.04358225,268.0,7.0,0.0018602179,3157.5552,4044.1401,27.0,1031.0884,1058.0884,260.87958,260.87958,15.217434,15.217434,29.255272,30.264074,10.513538,231.94795,20.472918,6.375602,2.0424447,3.0636237,1451.3541,0.3057746,5.207517,2.25,5.212258,0.42737162,2509.4424,4526.548,238.0,355.7292,450.0,575.01984,42.807034,4746.4834,472.59097,286.5878,0.60641825,1532.749,13.496799,0.008805617,6751.823,118.00839,198.43462,2768.012,5894.9277,41.275303,0.58145994,28.377344
4.75,5.0,3.0,2.0,1.0,0.0,1.0,0.0,-6062.985,1587.2394,3419.0,0.9085836,344.0,0.091416426,159.0,0.04225352,171.0,5.0,0.0013287271,18.0,168.0,0.04464523,255.0,12.0,0.003188945,3157.5552,4022.4272,47.5,1069.4976,1116.9976,172.78084,182.94441,17.268595,17.268595,32.079285,34.448776,12.3529625,162.14688,23.479305,7.3565583,2.0290701,3.1347027,1456.0248,0.3057746,6.2543716,2.7941177,6.3465767,0.4258628,2573.0225,4469.7124,205.0,342.74106,500.0,690.13477,48.88455,4761.759,401.401,239.04628,0.59552985,1532.749,19.180481,0.012513778,6695.9087,135.14201,198.2788,3016.0493,6023.8296,35.509274,0.5650406,28.048195
